Author,Year,Title,alpha_em,PSD_0.5,PSD_em,Feox_mmol[mmol/kg],Alox_mmol[mmol/kg],Feox_%[%],Alox_%[%],Fe+Alox[mmol/kg],Pox[mg/kg],Pox/Fe+Alox[%],Qmax[mg/kg],PSC[mmool/kg],Location,Climate1,Average,Median,,Climate2
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.15,1.4,4.6,,,,,,,3,,,Virginia US,Subtropical,0.51,0.5,Beck,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.32,9.4,14.6,,,,,,,19,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.25,8.1,16.1,,,,,,,16,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.35,11.7,16.8,,,,,,,23,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.34,12.6,18.3,,,,,,,25,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.25,9.9,20.2,,,,,,,20,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.31,13,21,,,,,,,26,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.5,20.1,20,,,,,,,40,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.26,13,24.8,,,,,,,26,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.29,14.8,25.8,,,,,,,30,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.34,17.5,25.8,,,,,,,35,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.4,19.3,24.1,,,,,,,39,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.45,21.5,23.9,,,,,,,43,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.3,17.1,28.7,,,,,,,34,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.29,19.3,32.9,,,,,,,39,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.44,29.1,32.9,,,,,,,58,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.44,30,33.9,,,,,,,60,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.47,31.7,34.1,,,,,,,63,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.65,45.5,35.1,,,,,,,91,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.03,2.5,40.2,,,,,,,5,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.31,24.2,39.2,,,,,,,48,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.33,27.4,40.9,,,,,,,55,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.3,25.2,42.1,,,,,,,50,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.47,39.3,41.9,,,,,,,79,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.48,42,44.1,,,,,,,84,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.45,39.8,44.1,,,,,,,80,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.35,31.4,45.1,,,,,,,63,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.27,27,49.2,,,,,,,54,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.33,34.1,50.9,,,,,,,68,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.38,36.7,48.2,,,,,,,73,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.4,38.1,47,,,,,,,76,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.43,40.7,47.3,,,,,,,81,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.53,50,47,,,,,,,100,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.44,46.1,51.9,,,,,,,92,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.4,43.4,54.1,,,,,,,87,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.37,41.7,55.8,,,,,,,83,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.32,36.3,56,,,,,,,73,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.32,37.2,58,,,,,,,74,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.45,49.2,54.3,,,,,,,98,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.58,61.6,53.1,,,,,,,123,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.54,58.5,53.9,,,,,,,117,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.49,55.4,56.1,,,,,,,111,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.47,53.7,57,,,,,,,107,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.44,51.4,59,,,,,,,103,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.5,57.7,58,,,,,,,115,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.53,60.3,57.3,,,,,,,121,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.54,62.5,58,,,,,,,125,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.55,64.3,58.8,,,,,,,129,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.49,59,60,,,,,,,118,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.45,55.5,61.2,,,,,,,111,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.37,45.7,62.1,,,,,,,91,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.34,42.2,61.9,,,,,,,84,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.31,39.5,62.9,,,,,,,79,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.33,42.6,64.8,,,,,,,85,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.32,42.2,66.3,,,,,,,84,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.37,50.2,68.2,,,,,,,100,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.41,56.4,69,,,,,,,113,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.44,60.4,68.2,,,,,,,121,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.47,61.7,66,,,,,,,123,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.49,64.8,65.8,,,,,,,130,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.51,65.2,64.1,,,,,,,130,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.5,62.6,63.1,,,,,,,125,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.56,69.2,62.2,,,,,,,138,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.61,74.1,61.2,,,,,,,148,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.59,76.3,64.4,,,,,,,153,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.51,69.7,68.3,,,,,,,139,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.47,66.6,71.2,,,,,,,133,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.58,79.5,68.3,,,,,,,159,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.55,77.3,70.2,,,,,,,155,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.53,75,70.2,,,,,,,150,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.52,72.4,70.2,,,,,,,145,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.49,71.1,72.1,,,,,,,142,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.36,57.8,81.1,,,,,,,116,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.44,67.5,76,,,,,,,135,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.51,75.5,74.1,,,,,,,151,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.71,96.8,68.3,,,,,,,194,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.71,101.7,71.2,,,,,,,203,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.64,93.7,73.2,,,,,,,187,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.54,80.4,73.9,,,,,,,161,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.53,80,76.1,,,,,,,160,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.49,77.3,78.2,,,,,,,155,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.51,81.3,80.4,,,,,,,163,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.53,82.6,77.8,,,,,,,165,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.57,85.7,75.1,,,,,,,171,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.55,87.1,79,,,,,,,174,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.6,93.3,77.3,,,,,,,187,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.62,98.2,79,,,,,,,196,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.66,103.9,79,,,,,,,208,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.6,100.4,83.4,,,,,,,201,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.58,98.7,84.4,,,,,,,197,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.68,112,82.4,,,,,,,224,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.64,107.5,84.1,,,,,,,215,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.62,105.3,85.3,,,,,,,211,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.6,103.6,86.3,,,,,,,207,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.61,105.8,87.3,,,,,,,212,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.57,100.5,88.3,,,,,,,201,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.57,102.7,90.2,,,,,,,205,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.61,109.3,90.2,,,,,,,219,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.62,112,90.2,,,,,,,224,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.71,119.9,83.9,,,,,,,240,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.7,122.2,87.3,,,,,,,244,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.68,119.5,88.3,,,,,,,239,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.65,119.1,91.2,,,,,,,238,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.72,127.1,88,,,,,,,254,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.71,130.7,92.2,,,,,,,261,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.74,142.2,96.1,,,,,,,284,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.82,148.8,90.3,,,,,,,298,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.96,163.9,85.2,,,,,,,328,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.9,171,95.2,,,,,,,342,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,0.77,152.9,99.3,,,,,,,306,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,1.09,203.4,93.3,,,,,,,407,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,1.53,311.7,102.2,,,,,,,623,,,Virginia US,Subtropical,,,,Subtropical
Beck,2004,Using the Mehlich-1 Extract to Estimate Soil Phosphorus Saturation for Environmental Risk Assessment,1.27,287,113.1,,,,,,,574,,,Virginia US,Subtropical,,,,Subtropical
