ID,Name,CountyName,LAT,LON,SoilMaterials,parent_material,UseType,Landuse_code,HistoricalSoilType,CropType,pH,olsenP[mg/kg],CaCl2P[mg/l],oxalateFe[mg/kg],oxalateAl[mg/kg], oxalateP[mg/kg],TotalP[g/kg],SOM[g/kg],ClayContent[%], oxalateCa[mg/kg],Premoval[kg/ha],Pinput[kg/ha],,
143,QY,小金洞乡,112.15,26.18,红砂岩,red sandstone,forest,3,,,4.75,4.07,0.04109063,638.846,959.18,68.706,0.219231371,21.80975684,0.086285714,29.41,2.72243,38.99,24.14975137,9.177413657
144,,小金洞乡,112.12,26.21,花岗岩,red sandstone,fruit,2,水田,罗汉果,5.67,1.475,0.125576037,578.806,1188.552,275.862,0.404312381,11.64977678,1.122666667,28.698,2.08461,16.65,28.02467995,31.75334816
145,QY,小金洞乡,112.13,26.23,红砂岩,red sandstone,upland,2,长期旱地,玉米,5.55,0.545,0.071812596,2948.874,1511.336,695.494,0.906766961,7.108542793,7.452333333,27.814,0.593071,18.25,55.39338599,40.5017493
146,,小金洞乡,112.14,26.23,板页岩,slate shale,forest,3,,,4.62,2.015,0.048771121,1331.826,1419.448,37.962,0.389735499,13.13485433,5.516714286,31.99,0.498714,8.65,,
147,QY,小金洞乡,112.14,26.24,红砂岩,red sandstone,forest,3,杉树林,村集体板栗,4.35,7.84,0.087173579,2212.206,1621.664,54.314,0.315326789,11.85871409,4.063833333,34.062,0.048266,0.44,50.93768544,3.439623338
148,QY,小金洞乡,112.14,26.24,红砂岩,red sandstone,teatree,3,长期茶园,茶叶,4.74,3.635,0.04109063,1404.202,1219.596,34.374,0.308755401,9.595832965,2.281,34.478,0.048266,0.44,35.99128709,3.080853171
150,QY,小金洞乡,112.12,26.26,红砂岩,red sandstone,fruit,2,荒地,柚子,5.17,12.905,0.021889401,1644.714,914.72,86.706,0.278122615,3.411264574,10.674,33.254,15.4563,12.2,32.27571566,8.665858169
151,,金洞镇,112.08,26.3,板页岩,slate shale,forest,3,,,4.49,3.575,0.106374808,2207.206,2183.18,72.79,0.308201137,16.78861273,11.70783333,29.902,2.63984,14.95,,
154,,石鼓源乡,112.13,26.34,板页岩,slate shale,paddy,1,长期水田,中稻,5.45,29.48,0.117895545,3046.906,906.832,122.966,0.410979965,14.07447144,5.137666667,32.154,1.46497,2.56,44.64359478,8.885138351
155,,石鼓源乡,112.15,26.33,板页岩,slate shale,teatree,3,长期茶园,,5.06,9.58,0.033410138,1449.23,924.804,131.286,0.574112068,7.669893895,8.984166667,20.61,0.0404459,0.2,,
156,QY,上司源乡,112.14,26.3,红砂岩,red sandstone,forest,3,,,4.84,4.17,0.052611367,2340.826,1848.448,63.106,0.316019538,27.09588393,6.851833333,37.114,3.71874,17.65,56.44730907,3.606332087
157,QY,上司源乡,112.14,26.27,红砂岩,red sandstone,forest,3,,,4.53,12.45,0.087173579,1564.734,1260.804,70.726,0.344763175,24.00212168,3.8925,27.258,4.91387,16.27,38.21707005,5.9698032
158,QY,上司源乡,112.15,26.26,红砂岩,red sandstone,upland,2,长期旱地,红薯,4.99,2.955,0.271505376,1141.454,851.12,109.386,0.544464438,5.490852849,5.557333333,22.694,1.44711,22.79,26.55924588,13.28569592
159,QY,上司源乡,112.17,26.25,红砂岩,red sandstone,teatree,3,荒地,茶叶,4.52,5.615,0.048771121,2263.254,1936.368,99.41,0.403748936,20.51693667,11.89433333,39.178,0.518073,3.38,57.44547115,5.58229244
160,QY,上司源乡,112.17,26.3,红砂岩,red sandstone,forest,3,,,4.7,3.645,0.044930876,991.766,1474.028,19.83,0.315107005,23.50160484,1.574166667,41.622,2.66699,14.47,37.20174588,1.719482256
161,QY,上司源乡,112.17,26.29,红砂岩,red sandstone,forest,3,,,4.64,1.675,0.052611367,2082.582,1570.316,52.854,0.27845533,18.97149849,4.070833333,28.966,2.72063,14.51,48.79286676,3.494297128
162,,潘市镇,112.03,26.5,板页岩,slate shale,forest,3,,,5.55,2.135,0.048771121,1685.746,801.732,58.686,0.315893357,15.43449003,3.484,35.642,8.57613,40.87,,
163,,潘市镇,112.05,26.51,板页岩,slate shale,paddy,1,长期水田,早稻,5.46,1.92,0.087173579,1871.45,680.884,117.122,0.501877954,18.88856936,2.139666667,26.066,5.24483,39.36,29.80329808,12.67688235
164,,潘市镇,112.08,26.51,紫色页岩,purple shale,forest,3,,,7.29,1.78,0.098694316,551.826,648.932,378.698,0.501326825,15.18869389,2.837142857,23.506,8.78157,48.84,,
165,,潘市镇,112.11,26.52,紫色页岩,purple shale,paddy,1,长期水田,早稻,7.09,0.665,0.044930876,2307.354,510.36,100.51,0.278733202,22.7403651,8.597666667,24.974,3.9811,58.94,30.41599038,10.65971558
175,,七里桥镇,111.91,26.53,河流冲积物,river alluvium,paddy,1,长期水田,水稻,6.59,13.435,0.075652842,2260.65,831.524,87.634,0.457195497,17.09547467,9.803166667,25.01,2.62999,20.14,36.17522115,7.814473929
176,,七里桥镇,111.92,26.51,板页岩,slate shale,forest,3,,,6.8,0.76,0.098694316,1899.758,778.008,69.774,0.441777693,9.730317076,2.6465,22.066,2.83717,50.21,,
177,,潘市镇,111.96,26.55,板页岩,slate shale,forest,3,,,6.39,1.465,0.229262673,1502.102,701.508,91.394,0.455965497,23.29635829,5.764285714,26.662,7.04806,72.4634,,
181,,梅溪镇,112.07,26.54,石灰岩,limestone,forest,3,,,7.49,10.05,0.091013825,887.246,3742.708,18.098,0.167653558,7.541844565,3.063,16.442,11.1581,45.9896,,
182,,梅溪镇,112.11,26.53,紫色页岩,purple shale,paddy,1,长期水田,水稻,7.92,12.69,0.048771121,1691.854,498.436,57.874,0.330757047,15.09586816,3.030833333,15.906,1.22151,49.2169,24.69114698,7.561022692
183,,梅溪镇,112.14,26.53,紫色页岩,purple shale,forest,3,,,4.59,5.89,0.079493088,1003.098,867.064,10.354,0.115448775,4.775533497,4.65925,21.026,-9999,-9999,,
189,,浯溪镇,111.83,26.56,河流冲积物,river alluvium,paddy,1,长期水田,水稻,7.33,2.145,0.110215054,1936.458,865.976,70.718,0.381185488,15.42143103,55.35683333,14.97,1.84961,15.3825,33.94318819,6.720717553
190,,浯溪镇,111.85,26.57,河流冲积物,river alluvium,fruit,2,水田,橙子,7.11,5.155,0.064132104,2930.542,1283.96,198.826,0.435277391,15.12989526,5.108166667,26.75,18.4869,48.9174,50.85709203,12.61130293
191,,七里桥镇,111.9,26.55,石灰岩,limestone,fruit,2,长期果园,橘子,7.94,8.115,0.087173579,1122.494,943.752,155.67,0.351951218,12.96488911,13.095,16.578,15.4766,132.656,,
192,,七里桥镇,111.91,26.57,板页岩,slate shale,fruit,2,长期果园,橘子,5.88,18.055,0.056451613,2134.682,1433.44,96.982,0.478314589,27.48082742,3.757666667,19.762,20.6338,48.3882,,
193,,七里桥镇,111.93,26.56,石灰岩,limestone,paddy,1,长期水田,早稻,7.85,24.32,0.325268817,1870.742,853.352,100.042,0.425848163,15.38200288,2.482666667,22.266,4.31591,30.856,33.11366896,9.745707413
195,,七里桥镇,111.99,26.55,板页岩,slate shale,forest,3,,,6.62,9.995,0.194700461,2960.714,728.74,126.698,0.433586573,16.76813672,3.3995,27.638,7.30921,57.7769,,
197,,梅溪镇,112.06,26.56,石灰岩,limestone,forest,3,,,7.59,0.635,0.048771121,1536.462,1127.516,28.35,0.167119523,17.54299254,15.9435,38.234,10.7564,39.8824,,
199,,梅溪镇,112.1,26.55,紫色页岩,purple shale,paddy,1,长期水田,水稻,7.08,0.62,0.071812596,1741.694,579.952,102.926,0.278344337,11.93386532,2.513,22.65,1.75143,55.8172,26.70376236,12.4334298
200,,梅溪镇,112.12,26.55,紫色页岩,purple shale,paddy,1,长期水田,水稻,7.68,2.83,0.079493088,3798.634,653.084,81.07,0.234161032,20.57379408,3.994333333,17.37,1.13537,22.9439,46.47568269,5.626945402
203,,茅竹镇,111.81,26.58,河流冲积物,river alluvium,fruit,2,水田,橘子,6.62,7.465,0.156298003,2670.722,1128.668,248.646,0.537816617,12.93086672,3.6735,28.914,15.1544,37.3087,45.55088599,17.60852404
205,,浯溪镇,111.86,26.58,河流冲积物,river alluvium,upland,2,长期旱地,蔬菜,5.8,78.41,0.31374808,2934.086,1201.376,615.794,1.085571338,13.60374107,6.361333333,29.798,15.2949,45.6753,49.30058104,40.29226869
206,,浯溪镇,111.89,26.58,石灰岩,limestone,fruit,2,旱地,橘子,7.66,9.06,0.021889401,1603.062,1196.204,251.646,0.672232149,21.75682507,7.215166667,25.55,15.4761,43.0384,,
207,,七里桥镇,111.91,26.58,板页岩,slate shale,paddy,1,长期水田,早稻,5.22,2.06,0.071812596,2234.678,1221.16,81.538,0.368021132,23.69712322,5.797166667,26.866,5.02612,58.8745,43.4363283,6.055433706
208,,七里桥镇,111.94,26.57,板页岩,slate shale,paddy,1,长期水田,早稻,7.97,70.63,0.106374808,4798.274,971.128,157.038,0.568525569,23.97146701,3.047833333,18.466,3.91325,162.201,61.5172706,8.234666275
209,,七里桥镇,111.96,26.58,板页岩,slate shale,forest,3,长期油茶,油茶,4.96,1.96,0.309907834,1465.454,1251.792,19.942,0.227090659,23.26086758,8.756333333,21.478,7.99367,86.7172,,
211,QY,羊角塘镇,112.02,26.59,砂岩,malmstone,forest,3,,,5.17,24.965,0.025729647,2190.374,1429.204,15.726,0.293442305,14.86679428,23.93883333,36.694,2.30394,28.3244,47.04160302,1.078386556
213,,羊角塘镇,112.08,26.59,石灰岩,limestone,upland,2,长期旱地,花生,7.28,7.45,0.275345622,2515.09,1802.348,80.562,0.397224158,9.488988946,26.15816667,31.11,0.329143,3.80434,57.11669918,4.549937638
214,,羊角塘镇,112.13,26.58,石灰岩,limestone,fruit,2,旱地,橘子,6.72,0.925,0.117895545,1036.858,911.468,19.378,0.197524001,4.749872455,17.2035,19.442,4.88544,36.6637,,
216,,羊角塘镇,112.15,26.58,紫色页岩,purple shale,forest,3,,,7.66,2.16,0.075652842,385.566,423.628,254.43,0.426654935,8.548831173,2.552666667,17.13,5.27145,36.597,,
217,,大村甸镇,111.76,26.61,板页岩,slate shale,forest,3,,,5.06,4.245,0.056451613,705.618,710.032,9.782,0.115529339,19.03607786,4.203,16.058,3.67543,57.0788,,
218,,大村甸镇,111.78,26.6,石灰岩,limestone,upland,2,水田,玉米,7.95,3.335,0.129416283,3619.894,1168.364,240.726,0.553128928,19.19553456,5.188444444,29.79,1.0126,24.752,54.7890206,14.1731952
220,,浯溪镇,111.83,26.6,石灰岩,limestone,fruit,2,水田,橘子,6.93,18.64,0.083333333,2137.322,808.556,90.482,0.31520116,11.52469731,5.0485,21.01,9.19244,45.7114,34.63238599,8.427874979
222,,下马渡镇,111.9,26.62,河流冲积物,river alluvium,paddy,1,长期水田,早稻,5.04,5.395,0.156298003,1613.206,790.18,169.182,0.693521725,17.16554423,7.167333333,21.358,4.88611,78.1453,29.59939423,18.43782284
223,,下马渡镇,111.91,26.6,紫色页岩,purple shale,fruit,2,旱地,橘子,5.92,13.58,0.06797235,2017.926,647.592,108.066,0.315075632,11.28297023,1.657142857,19.606,25.3606,40.14,,
224,,七里桥镇,111.94,26.6,板页岩,slate shale,forest,3,,,7.53,20.87,0.029569892,1304.164,878.82,28.986,0.27870539,11.69732248,4.188833333,19.442,11.7166,67.6322,,
225,,七里桥镇,111.98,26.6,板页岩,slate shale,forest,3,,,4.65,14.17,0.118188252,2181.836,1784.54,15.77,0.123106883,13.64071239,3.280333333,22.502,11.3408,61.8802,,
226,,羊角塘镇,112.03,26.6,石灰岩,limestone,fruit,2,,,7.23,12.08,0.054493984,2685.072,1919.744,30.758,0.211550712,6.553096019,25.67055556,21.734,2.48387,28.5804,,
228,QY,羊角塘镇,112.07,26.61,砂岩,malmstone,forest,3,,,4.75,11.175,0.376503892,2278.692,2598.136,22.63,0.352301871,10.38705088,32.74183333,41.55,4.93013,36.6776,70.30961813,1.038264777
229,,羊角塘镇,112.11,26.61,河流冲积物,river alluvium,forest,3,,,4.84,9.325,0.192498231,2362.256,1912.42,41.602,0.766927481,9.725543444,22.0335,28.114,6.55198,39.9312,,
230,,羊角塘镇,112.13,26.61,石灰岩,limestone,forest,3,,,7.82,7.28,0.043878273,1166.912,675.84,16.286,0.241474842,9.957142018,11.686,12.842,9.29428,39.4759,,
231,,大村甸镇,111.75,26.63,石灰岩,limestone,paddy,1,长期水田,水稻,7.78,13.875,0.263269639,10748.744,1857.996,331.478,0.434062139,25.95289836,8.033666667,16.798,4.33144,159.537,131.7016209,8.118987935
232,,大村甸镇,111.79,26.62,石灰岩,limestone,forest,3,,,6.25,4.6975,0.054493984,1608.04,1479.988,222.89,0.442351487,11.06988928,16.5076,22.778,3.93692,69.809,,
233,,大村甸镇,111.81,26.63,石灰岩,limestone,paddy,1,长期水田,早稻,6.11,31.875,0.666666667,2225.536,868.172,100.71,0.545442127,27.09057382,12.25433333,24.506,4.00119,139.84,36.56647253,8.884394509
235,,下马渡镇,111.87,26.63,紫色页岩,purple shale,fruit,2,长期果园,柚子,7.34,9.275,0.167728238,1805.536,800.788,309.982,0.56104751,18.39331969,4.023666667,14.494,15.7245,42.9995,,
236,,下马渡镇,111.9,26.63,紫色页岩,purple shale,paddy,1,长期水田,水稻,7.61,31.63,0.047416844,4870.616,1014.456,457.358,0.449055649,21.3473518,1.742666667,23.626,2.22021,39.5163,62.99641209,23.41956213
237,,下马渡镇,111.92,26.63,紫色页岩,purple shale,upland,2,长期旱地,玉米,7.15,10.03,0.047416844,1538.524,1007.196,299.294,0.329802244,12.67059149,0.8826,21.014,1.47604,16.6741,33.10597527,29.16284774
239,,挂榜山林场,111.99,26.61,板页岩,slate shale,forest,3,,,4.65,20.035,0.054493984,4209.112,2900.644,85.438,0.412828451,25.22395803,13.85666667,37.018,13.2002,54.6469,,
240,QY,羊角塘镇,112,26.64,砂岩,malmstone,forest,3,,,4.97,11.385,0.043878273,1494.812,1724.476,13.31,0.219100304,5.562014548,13.80866667,10.422,-9999,-9999,46.50953571,0.923154429
241,QY,羊角塘镇,112.03,26.64,砂岩,malmstone,forest,3,,,4.88,10.37,0.047416844,1507.584,1425.068,107.65,0.352336975,9.029975427,16.488,20.838,20.915,68.9035,40.86572527,8.497538272
242,QY,羊角塘镇,112.05,26.64,砂岩,malmstone,paddy,1,长期水田,早稻,7.26,9.56,0.10403397,1824.276,1246.76,94.266,0.293442305,13.79804674,4.342333333,18.502,4.49575,32.8904,40.26433242,7.552189561
243,,羊角塘镇,112.08,26.63,石灰岩,limestone,paddy,1,长期水田,早稻,6.83,15.325,0.054493984,2266.36,1393.804,163.29,0.691676046,19.15887957,15.44416667,25.218,4.76271,49.0423,47.03928022,11.19791657
245,QY,羊角塘镇,112.13,26.63,砂岩,malmstone,upland,2,荒地,西瓜,4.61,37.22,0.146496815,1428.42,1611.756,22.33,0.278677584,15.81693865,10.27533333,14.81,20.0836,39.7601,43.74905769,1.646487076
246,,大村甸镇,111.74,26.65,石灰岩,limestone,paddy,1,长期水田,水稻,7.69,10.24,0.050955414,4457.636,1334.916,187.594,0.374170259,34.89742688,11.82166667,12.534,3.55454,70.7117,65.47178297,9.242789917
247,,大村甸镇,111.75,26.65,石灰岩,limestone,forest,3,,,6.42,4.68,0.429582449,1711.212,1144.992,46.742,0.182563079,10.40614706,8.357,15.322,3.72466,98.0018,,
248,,大村甸镇,111.78,26.66,石灰岩,limestone,paddy,1,长期水田,早稻,7.75,6.01,0.068648266,5779.528,1458.512,238.094,0.433975595,25.28212442,13.809,15.63,4.09445,80.2694,79.65123626,9.642601889
249,,浯溪镇,111.82,26.66,石灰岩,limestone,upland,2,长期旱地,红薯,7.45,11.065,0.050955414,2717.732,1367.452,132.506,0.484993742,12.65100348,11.13516667,23.642,10.4546,20.6703,50.56261813,8.453650651
250,QY,下马渡镇,111.83,26.65,砂岩,malmstone,upland,2,水田,大豆,7.37,6.625,0.065109696,3395.688,1266.172,224.106,0.470769572,14.06440415,10.99666667,20.274,0.791972,34.4373,54.6681044,13.22384576
251,QY,下马渡镇,111.86,26.65,砂岩,malmstone,upland,2,水田,花生,5.29,13.12,0.128803963,1804.032,1310.084,199.382,0.389385961,9.798802583,7.278166667,13.23,1.14221,24.7375,41.30135165,15.57255916
252,,下马渡镇,111.88,26.65,板页岩,slate shale,fruit,2,旱地,橘子,6.63,7.485,0.18895966,2270.896,959.572,259.994,0.419875724,6.739852513,9.0005,10.934,15.1674,18.4503,,
253,,下马渡镇,111.92,26.65,紫色页岩,purple shale,fruit,2,旱地,柚子,6.65,5.715,0.571125265,3181.128,800.764,213.41,0.2641442,13.8887597,4.264,12.674,30.3199,30.8541,,
254,,下马渡镇,111.94,26.64,板页岩,slate shale,forest,3,,,6.95,15.255,0.150035386,1815.76,814.952,32.098,0.39031946,8.044405663,2.585666667,16.098,16.0159,36.9173,,
255,QY,羊角塘镇,112.02,26.64,砂岩,malmstone,upland,2,水田,西瓜,5.1,8.715,0.567586695,1534.26,1211.972,137.794,0.367287438,10.2593103,2.441666667,18.414,26.9782,81.947,37.00590385,12.01150973
256,QY,羊角塘镇,112.1,26.64,砂岩,malmstone,forest,3,,,4.74,4.525,0.737438075,877.788,1349.824,7.178,0.145166719,5.542276927,18.54666667,12.262,5.42947,43.8251,33.7955467,0.68514467
257,QY,大村甸镇,111.76,26.67,砂岩,malmstone,forest,3,,,4.83,24.27,0.181882519,2040.072,1962.688,26.638,0.130223954,22.13908839,13.9595,20.91,2.88063,83.4305,55.95892857,1.535573222
258,,大村甸镇,111.78,26.67,石灰岩,limestone,fruit,2,荒地,橘子,7.31,20.765,0.433121019,2505.136,1325.3,202.834,0.449414284,16.77888991,10.17133333,13.154,1.03867,69.9454,,
260,QY,浯溪镇,111.83,26.69,砂岩,malmstone,forest,3,,,4.84,9.92,0.535739561,2653.428,2009.692,61.366,0.418871837,11.85821389,13.495,6.682,1.33981,48.322,62.33924451,3.175444943
261,,下马渡镇,111.86,26.67,第四纪红土,red soil of quantenary reath,forest,3,,,4.55,10.86,0.535739561,1134.072,1262.364,11.122,0.13774652,5.448984934,5.960833333,9.986,3.99921,31.2719,,
262,,下马渡镇,111.89,26.67,板页岩,slate shale,forest,3,,,4.48,11.13,0.058032555,1184.548,928.872,21.898,0.108005174,15.10309601,4.873,9.022,10.0501,28.2004,,
263,,下马渡镇,111.91,26.68,板页岩,slate shale,forest,3,,,5.32,15.85,0.426043878,1161.488,774.572,18.294,0.085795243,3.970392268,0.909833333,4.714,5.91695,22.8939,,
264,,下马渡镇,111.92,26.69,板页岩,slate shale,paddy,1,长期水田,水稻,6.3,15.905,0.794055202,4281.004,864.296,167.318,0.412704702,27.3868393,9.188,10.046,0.0911964,14.8078,54.84432692,9.841227236
265,QY,文明铺镇,111.7,26.71,砂岩,malmstone,forest,3,,,4.51,14.54,0.426043878,1077.668,1309.104,10.362,0.256417087,11.03081492,22.86883333,8.414,1.17169,71.8034,34.79711264,0.96059138
266,,文明铺镇,111.73,26.71,石灰岩,limestone,upland,2,长期水田,油菜,6.57,7.095,0.61358811,1662.244,1298.612,120.506,0.360925795,8.912200133,19.51,19.55,0.0199917,14.9424,39.81477198,9.763437361
268,,黎家坪镇,111.79,26.71,石灰岩,limestone,forest,3,,,6.39,23.745,0.457891012,1565.572,1146.472,44.738,0.584212094,10.5851437,22.14816667,21.118,1.77006,62.6745,,
269,,黎家坪镇,111.81,26.7,石灰岩,limestone,upland,2,长期旱地,玉米,7.37,8.835,0.503892427,1561.912,1130.204,104.878,0.27059102,10.32950102,8.446166667,17.778,0.0760228,63.4363,35.68033516,9.48186522
270,,黎家坪镇,111.83,26.7,河流冲积物,river alluvium,paddy,1,长期水田,水稻,7.48,11.85,0.52158528,6787.904,1267.168,358.662,0.825820504,35.26466568,2.407666667,21.37,0.0858789,49.146,84.9749011,13.6154815
271,,黎家坪镇,111.85,26.71,石灰岩,limestone,forest,3,,,7.36,15.495,0.150035386,1431.944,853.2,25.834,0.249205075,10.70593739,3.34,11.638,1.84037,39.8452,,
272,,下马渡镇,111.9,26.7,板页岩,slate shale,fruit,2,旱地,李子,6.53,13.52,0.786978061,3237.62,1050.744,150.334,0.478028715,16.74355178,8.0515,10.362,4.93394,25.3487,,
273,,下马渡镇,111.91,26.7,板页岩,slate shale,forest,3,,,4.56,31.92,0.266808209,827.792,1169.536,8.086,0.056390335,4.729077823,0.2845,11.53,4.18932,21.7142,,
274,,文明铺镇,111.71,26.74,石灰岩,limestone,paddy,1,长期水田,水稻,7.56,36.385,0.072186837,1884.656,1376.46,123.99,0.322343401,14.27293085,12.97433333,16.634,2.18956,160.018,43.29767033,9.237627311
275,,文明铺镇,111.73,26.72,第四纪红土,red soil of quantenary reath,forest,3,,,5.71,12.745,0.203113942,1520.224,1673.616,14.638,0.29285805,11.95186614,7.258666667,11.466,0.934787,56.022,,
279,,黎家坪镇,111.83,26.72,石灰岩,limestone,upland,2,长期旱地,芝麻,7.48,7.8,0.065109696,3273.108,1558.428,215.642,0.569831187,15.99265058,11.04033333,30.47,2.84827,29.7103,59.1939478,11.75152833
281,,文富市镇,111.91,26.73,板页岩,slate shale,forest,3,,,4.87,35.08,0.050955414,4122.944,2568.468,83.494,0.499479953,18.23222718,3.486,29.506,3.09977,29.6842,,
282,,文明铺镇,111.65,26.76,石灰岩,limestone,upland,2,水田,玉米,7.45,19.165,0.047416844,1672.964,1269.056,67.21,0.249319614,8.977853354,16.64966667,9.046,0.0571658,14.7823,39.34210165,5.510799945
283,,文明铺镇,111.68,26.76,石灰岩,limestone,forest,3,,,5.92,2.775,0.050955414,1248.548,1181.096,18.802,0.294624969,6.798639977,21.11066667,9.946,0.70178,41.7799,,
284,,文明铺镇,111.7,26.76,石灰岩,limestone,paddy,1,长期水田,水稻,6.6,3.935,0.050955414,3118.488,1006.22,119.654,0.654265065,20.42002851,17.3806,27.486,0.0907628,19.7439,47.19402747,8.178590933
285,,文明铺镇,111.72,26.76,石灰岩,limestone,paddy,1,长期水田,水稻,6.78,6.725,0.065109696,5041.632,1116.464,292.558,0.713200383,21.16572852,10.31383333,22.202,0.100319,30.2969,66.48503297,14.19470581
287,,文明铺镇,111.78,26.75,石灰岩,limestone,upland,2,水田,生姜,8.13,10.51,0.012031139,4294.052,1455.524,319.702,0.630857285,21.57838635,15.3235,22.426,1.59398,56.7037,66.33059615,15.54782912
288,,黎家坪镇,111.81,26.75,第四纪红土,red soil of quantenary reath,forest,3,,,4.74,4.005,0.047416844,1061.9,891.224,12.086,0.127137906,7.234179288,4.705833333,25.674,2.2733,50.931,,
289,,文富市镇,111.84,26.75,紫色页岩,purple shale,upland,2,水田,芝麻,7.11,2.85,0.326963907,2874.728,682.116,131.214,0.469771925,18.66391133,3.661166667,12.366,0.438077,24.7165,38.78482967,10.91331253
290,,文富市镇,111.85,26.75,板页岩,slate shale,forest,3,荒地,板栗,4.48,5.625,0.061571125,1181.216,1213.02,30.782,0.531318251,6.987517756,14.06816667,15.622,1.04495,33.587,,
291,,文富市镇,111.89,26.75,石灰岩,limestone,paddy,1,长期水田,早稻,6.76,2.55,0.089879689,7144.08,1076.384,395.502,0.798120816,28.34625881,0.2135,26.994,1.14935,29.514,84.48612088,15.10085787
292,QY,文明铺镇,111.63,26.78,砂岩,malmstone,forest,3,,,4.74,3.37,0.004953999,922.908,751.048,11.454,0.149947146,6.407671146,0.1254,16.918,0.939126,35.3445,22.68348077,1.62886761
293,,龚家坪镇,111.65,26.78,石灰岩,limestone,paddy,1,长期水田,水稻,6.43,32.365,0.093418259,3740.7,1172.4,175.662,0.523277325,23.07182748,10.22433333,18.006,1.71641,29.5141,55.94526099,10.12867941
295,,文明铺镇,111.7,26.77,板页岩,slate shale,paddy,1,长期水田,水稻,7.71,78.56,0.507430998,5820.964,1288.324,428.334,0.692090844,22.76092902,5.086666667,13.738,1.70115,48.9887,76.7483544,18.00328608
296,,文明铺镇,111.73,26.77,石灰岩,limestone,paddy,1,长期水田,早稻,6.14,20.185,0.054493984,3085.312,834.084,73.498,0.607365618,18.85453828,10.016,25.046,1.14585,104.854,43.58750549,5.439410214
297,QY,文明铺镇,111.75,26.77,砂岩,malmstone,paddy,1,长期水田,水稻,7.69,14.68,0.118188252,4897.244,1096.816,444.302,0.896860704,27.93767951,10.13616667,18.674,1.43216,24.6315,64.81800824,22.11163683
300,,文富市镇,111.83,26.77,紫色页岩,purple shale,forest,3,,,8.26,1.86,0.068648266,570.74,388.192,284.198,0.386135571,7.764239578,2.290333333,10.782,1.24829,47.414,,
303,,龚家坪镇,111.67,26.8,第四纪红土,red soil of quantenary reath,upland,2,长期旱地,花生,4.73,1.19,0.047416844,1406.168,1432.132,50.91,0.514941216,8.003492744,8.9035,23.538,0.288441,55.6738,40.09607143,4.095807908
305,QY,龚家坪镇,111.73,26.8,砂岩,malmstone,forest,3,,,4.66,1.7,0.061571125,1189.064,1386.488,11.398,0.19542149,3.364800502,19.0336,17.218,0.969723,61.8607,37.27987363,0.986262515
306,QY,龚家坪镇,111.75,26.8,砂岩,malmstone,forest,3,,,4.81,1.615,0.050955414,1646.532,1280.376,16.486,0.226242901,8.282749881,9.5375,35.262,1.13615,56.6612,39.32379396,1.352378288
309,,龚家坪镇,111.66,26.83,板页岩,slate shale,forest,3,,,5.62,2.64,0.082802548,1390.772,905.252,45.434,0.24097318,7.686018661,5.4372,12.278,0.485943,49.5311,,
313,,龚家坪镇,111.7,26.84,板页岩,slate shale,paddy,1,长期水田,早稻,7.8,1.61,0.061571125,3052.088,1085.18,276.218,0.653480888,21.61620215,9.840833333,9.39,1.77064,56.0918,48.11963187,18.51688743
325,,七里桥镇,111.9,26.51,第四纪红土,red soil of quantenary reath,fruit,2,长期果园,橘子,6,4.22,0.050955414,2120.844,1462.816,159.642,0.499479953,5.557827826,12.95983333,29.53,0.0131458,65.2893,,
326,,潘市镇,112.02,26.52,板页岩,slate shale,forest,3,,,5.32,1.5,0.065109696,1184.108,856.416,83.058,0.508094326,7.000744709,5.3695,24.726,7.38306,41.6479,,
330,,潘市镇,111.96,26.47,紫色页岩,purple shale,forest,3,,,5.96,0.785,0.082802548,1830.644,925.324,40.886,0.493203599,10.7523857,5.264,22.802,2.12848,44.4933,,
332,QY,潘市镇,112.03,26.49,砂岩,malmstone,forest,3,,,5.19,20.745,0.224345364,1317.38,687.164,68.478,0.439667482,7.770839837,15.982,14.146,10.7901,39.7062,24.97701374,8.844002591
333,,潘市镇,111.93,26.5,石灰岩,limestone,fruit,2,长期果园,橘子,7.04,1.145,0.118188252,2425.732,1586.296,464.686,0.837071285,13.78705045,3.831,21.318,0.0109836,56.4479,,
